,Activity,Activite1,Activite2,Activite3,Activite4,Activite5,Activite6,Activite7,Activite8,Activite9,Activite10,Poste actuel
359,"['Skills: Decision computing · Extract, Transform, Load (ETL) · DWH · Team motivation · SQL Server Reporting Services (SSRS) · SQL Server Integration Services (SSIS) · SQL Server Analysis Services (SSAS) · Microsoft Power BI']","Skills: Decision computing · Extract, Transform, Load (ETL) · DWH · Team motivation · SQL Server Reporting Services (SSRS) · SQL Server Integration Services (SSIS) · SQL Server Analysis Services (SSAS) · Microsoft Power BI",,,,,,,,,,Trainee
360,['unckown'],unckown,,,,,,,,,,Junior Development Engineer
361,['unckown'],unckown,,,,,,,,,,Data Analyst Internal
362,"['Setting up a decision platform for a wimbee client using JasperReports', 'Keywords : SSMS, Talend, jaspersoft studio ']",Setting up a decision platform for a wimbee client using JasperReports,"Keywords : SSMS, Talend, jaspersoft studio ",,,,,,,,,Data analytics internal
363,['unckown'],unckown,,,,,,,,,,Student
364,"['Help clients to exploit their data and analyse their business for better decision-making through:', ' * Participation in the feeding phase.', ' * Participation in the modelling and storage phase.', ' *Participation in the visualization phase']",Help clients to exploit their data and analyse their business for better decision-making through:, * Participation in the feeding phase., * Participation in the modelling and storage phase., *Participation in the visualization phase,,,,,,,Business Intelligence Consultant
365,['Skills: Databases'],Skills: Databases,,,,,,,,,,Student engineer
366,"['National Observatory Project:', 'Drafting of technical and functional specifications', 'Development of different data integration packages', 'Cadming', 'Pilotage']",National Observatory Project:,Drafting of technical and functional specifications,Development of different data integration packages,Cadming,Pilotage,,,,,,Business Intelligence Consultant
367,['unckown'],unckown,,,,,,,,,,unckown
368,['Skills: Data analysis'],Skills: Data analysis,,,,,,,,,,Consultant Business Intelligence 
369,"['- Collection and extraction of data sources.', '- Processing, operation and integration of data into a data warehouse.', '- Creation of dashboards, implementation of KPIs and reporting of performance to give a coherent vision of results to managers.']",- Collection and extraction of data sources.,"- Processing, operation and integration of data into a data warehouse.","- Creation of dashboards, implementation of KPIs and reporting of performance to give a coherent vision of results to managers.",,,,,,,,Business intelligence analytics
370,['unckown'],unckown,,,,,,,,,,Business Intelligence Internal
371,"['creation of a decision-making solution to analyze workload and capacity in order to estimate the number of hires in the next 5 years for all departments of the Airbus helicopter client.', '-Updating the Macro (VBA) of the various Excel files', '-Extraction, transformation and download of data', '-Deployment of OLAP cubes', '-Implementing dynamic decision-making relationships ', 'Environment: Visual Basic for Applications (VBA), Excel, SAP PCB', '', 'Implementation of a form for applications for the export control of Airbus helicopter, extraction of data and development of a dashboard in order to have a comprehensive and profound view of the analyses of the applications, their follow-up and their progress. ', '-Implementing a form for applications ', '-Implementing a website that allows users to track their requests. ', '-Extraction, transformation and download of data', '-Put in place a decision-making dashboard.', 'Environment : Google Forms, Google Sites, App Scripts, Data Studio']",creation of a decision-making solution to analyze workload and capacity in order to estimate the number of hires in the next 5 years for all departments of the Airbus helicopter client.,-Updating the Macro (VBA) of the various Excel files,"-Extraction, transformation and download of data",-Deployment of OLAP cubes,-Implementing dynamic decision-making relationships ,"Environment: Visual Basic for Applications (VBA), Excel, SAP PCB",,"Implementation of a form for applications for the export control of Airbus helicopter, extraction of data and development of a dashboard in order to have a comprehensive and profound view of the analyses of the applications, their follow-up and their progress. ",-Implementing a form for applications ,-Implementing a website that allows users to track their requests. ,Intern Data Analyst 
372,"['• Informatica Powercenter Consultant', '', ""- Managing VWFS's decision-making system"", '- Development of mappings/workflows under Informatica Powercenter.', '- Preparation of SQL scripts (table creation scripts, queries to check the correct calculation of KPIs).', '', '• Technical environment: Oracle, Informatica PowerCenter, SAP BO, Jira, CyberArk, Oracle SQL Developer, GitLab']",• Informatica Powercenter Consultant,,- Managing VWFS's decision-making system,- Development of mappings/workflows under Informatica Powercenter.,"- Preparation of SQL scripts (table creation scripts, queries to check the correct calculation of KPIs).",,"• Technical environment: Oracle, Informatica PowerCenter, SAP BO, Jira, CyberArk, Oracle SQL Developer, GitLab",,,,Data的 Business Intelligence Consultant
373,['unckown'],unckown,,,,,,,,,,BI Junior Consultant 
374,['Skills: Talend Open Studio · Microsoft Dynamics AX · Microsoft Power BI'],Skills: Talend Open Studio · Microsoft Dynamics AX · Microsoft Power BI,,,,,,,,,,Data Analyst intern
375,['Skills: Laravel · JavaScript'],Skills: Laravel · JavaScript,,,,,,,,,,Developer front-end
376,"[""I'm currently working on implementing a reporting platform for a municipality's Commercial performance. This platform will provide valuable insights and support data-driven decision making for the municipality. I'm using advanced technologies like Data Warehouse and PowerBI to create a user-friendly interface for monitoring and analysis key metrics. As a Business Intelligence Internal, I'm able to apply my technical skills and knowledge to make a positive impact on the success of the municipality. This internship is a valuable opportunity for me to gain hands-on experience in Business Intelligence, data analysis, and technology implementation and enhancement my resume.""]","I'm currently working on implementing a reporting platform for a municipality's Commercial performance. This platform will provide valuable insights and support data-driven decision making for the municipality. I'm using advanced technologies like Data Warehouse and PowerBI to create a user-friendly interface for monitoring and analysis key metrics. As a Business Intelligence Internal, I'm able to apply my technical skills and knowledge to make a positive impact on the success of the municipality. This internship is a valuable opportunity for me to gain hands-on experience in Business Intelligence, data analysis, and technology implementation and enhancement my resume.",,,,,,,,,,Business Intelligence Internal
377,"['Implementing a decision-making solution having as functions: Reading, Parse, Decomposition, Dispatching, Injecting data in the data base.', 'Data integration with Python.', 'DataWarehouse modelling.', 'Data visualization with PowerBi.']","Implementing a decision-making solution having as functions: Reading, Parse, Decomposition, Dispatching, Injecting data in the data base.",Data integration with Python.,DataWarehouse modelling.,Data visualization with PowerBi.,,,,,,,Business Intelligence Developer
378,['unckown'],unckown,,,,,,,,,,unckown
379,['Skills: Business Analytics · Data Visualization'],Skills: Business Analytics · Data Visualization,,,,,,,,,,Student
380,['unckown'],unckown,,,,,,,,,,Business Intelligence Trainee
381,['Business intelligence and Data Analytics internship'],Business intelligence and Data Analytics internship,,,,,,,,,,Business Intelligence Internal
382,['I am pleased to announce that I now hold the position of Internal Business Intelligence at Freelance Provider!'],I am pleased to announce that I now hold the position of Internal Business Intelligence at Freelance Provider!,,,,,,,,,,Business Intelligence Analyst
383,['Skills: Data collection · Data warehouse · Data analysis · Teamwork · Microsoft Power BI'],Skills: Data collection · Data warehouse · Data analysis · Teamwork · Microsoft Power BI,,,,,,,,,,Trainee
384,['unckown'],unckown,,,,,,,,,,Business Intelligence Consultant
385,['unckown'],unckown,,,,,,,,,,Engineer BI
386,['Skills: DASH · SQL · Python (Programming Language) · Flask · vaex'],Skills: DASH · SQL · Python (Programming Language) · Flask · vaex,,,,,,,,,,Junior Solutions Architect
387,['unckown'],unckown,,,,,,,,,,English/French/Arabic Translator
388,['Automatic processing of CVs and profiles with Big Data (cv library)'],Automatic processing of CVs and profiles with Big Data (cv library),,,,,,,,,,Data Analyst 
389,['Skills: Data Analysis · Microsoft Excel · SQL'],Skills: Data Analysis · Microsoft Excel · SQL,,,,,,,,,,Business Analyst Internal
390,['unckown'],unckown,,,,,,,,,,Founder and Communication Manager
391,['Skills: Process Improvement · Data Science · Data Analysis · SQL'],Skills: Process Improvement · Data Science · Data Analysis · SQL,,,,,,,,,,"Business Data Analyst, Associate"
392,['Analysis and visualisation of road traffic accidents in France 2005 - 2020'],Analysis and visualisation of road traffic accidents in France 2005 - 2020,,,,,,,,,,Engineering course
393,['unckown'],unckown,,,,,,,,,,Student
394,['unckown'],unckown,,,,,,,,,,Consultant Business Intelligence
